1	5549.4	33.407	0.35026	2612	1.0122e-07	1.6113
2	3263.7	31.914	0.27313	933.5	7.3054e-08	1.916
3	7067	35.198	0.28978	2354.2	7.5959e-08	2.314
4	3357.2	36.31	0.4004	1407.5	4.8306e-08	1.3691
5	4514.3	37.098	0.40741	542.06	1.2702e-07	1.3418
6	2630.4	30.773	0.36475	598.37	5.4875e-08	1.127
7	5448.3	34.578	0.41007	874.64	8.9246e-08	1.2988
8	6948.3	34.09	0.51366	1190.9	5.8272e-08	1.2285
9	3021.9	30.335	0.29019	2740.5	4.2676e-08	1.9004
10	7968.5	35.924	0.43442	413.55	1.1216e-07	1.3691
11	7356.5	36.605	0.40824	1023.9	4.6173e-08	1.4707
12	6605.8	30.806	0.4769	1666.8	1.2025e-07	1.1465
13	6601.7	32.816	0.47941	672.57	2.3209e-08	1.1738
14	5608.5	34.624	0.44825	1556.5	1.0013e-07	1.2871
15	4139.5	27.84	0.44227	617.77	3.7827e-08	0.4707
16	6937.1	36.885	0.33294	2549.2	2.6218e-08	1.9707
17	7819.8	33.044	0.46852	178.13	4.2402e-08	1.209
18	4977	30.734	0.45743	568.95	1.0412e-07	1.0527
19	2986.5	28.337	0.47132	2157.3	7.6141e-08	0.49414
20	4055.6	28.831	0.42005	1471.1	3.3631e-08	1.0488
21	7274.8	28.216	0.27013	2009.3	7.9603e-08	2.0298
22	5645.4	33.295	0.45848	555.86	1.1864e-07	1.166
23	3702.9	32.848	0.31148	2269.9	2.2608e-08	1.7754
24	7382.7	32.649	0.47525	467.24	7.0238e-08	1.1895
25	3126.4	37.695	0.41092	1723.9	3.4716e-08	1.4238
26	6975.6	32.628	0.33709	485.26	1.1367e-07	1.4355
27	4143.5	31.608	0.4307	1567.4	8.5926e-08	1.1426
28	7960.1	33.02	0.29854	1913	4.5718e-08	1.9863
29	6782.6	35.256	0.29439	387.83	2.9015e-08	1.8223
30	4102.2	34.544	0.35462	359	1.1327e-07	1.334
31	3247.8	30.127	0.32349	493.8	3.9497e-08	1.2637
32	5832.9	31.495	0.30184	2659.2	9.9618e-08	1.9004
33	8139.2	31.259	0.41859	2694.3	2.2727e-08	1.3496
34	7699.7	28.686	0.39635	2545.4	4.0273e-08	1.2676
35	7708.9	35.623	0.26774	946.5	6.1643e-08	2.4165
36	3352.8	34.973	0.2917	1036.6	1.5406e-08	1.9043
37	4083.7	28.462	0.35199	709.89	3.4061e-08	1.1348
38	5095.7	29.014	0.40005	446.59	2.442e-08	1.0566
39	7857.4	31.089	0.50988	878.53	3.3809e-08	1.1465
40	4112.7	37.364	0.5318	1697.6	3.0834e-08	1.248
41	8157.1	33.954	0.5013	1285.5	4.6599e-08	1.2793
42	8006.3	36.453	0.38007	679.75	8.636e-08	1.5215
43	5426.9	38.008	0.34263	1925.1	7.1277e-08	1.8418
44	3629.8	35.604	0.42264	1067.6	4.8575e-08	1.2637
45	8065.3	31.381	0.45624	2177.2	8.9831e-08	1.2598
46	6058.3	34.728	0.49621	1434.3	5.9067e-08	1.2441
47	5521.3	34.555	0.52801	2371	6.469e-08	1.2246
48	7010.4	38.482	0.37123	787.31	4.5761e-08	1.6309
49	4751	30.001	0.50018	1059.3	1.2282e-07	1.0059
50	4046.6	37.693	0.51493	2450.3	5.9955e-08	1.3105
51	6243.5	30.72	0.51592	403.54	7.9964e-08	1.0566
52	3427.3	36.506	0.36892	1341.6	1.1625e-07	1.4824
